Id,Predict
263,10 37 53 68 72 84 98 
264,10 25 26 27 55 78 
265,12 24 46 53 
266,20 22 24 25 37 66 74 
267,18 30 43 98 
268,10 12 54 
269,2 16 18 19 41 56 64 74 77 
270,15 57 68 69 77 79 98 
271,19 37 54 56 
272,29 67 96 97 
273,25 27 28 39 91 
274,10 20 41 57 82 84 91 
275,22 26 49 81 86 96 
276,12 32 63 81 
277,0 9 25 30 37 65 82 
278,25 26 71 
279,29 54 
280,33 88 95 96 
281,2 41 49 58 66 
282,3 16 36 86 94 
283,6 50 53 57 71 
284,21 24 73 
285,28 75 
286,0 19 37 50 76 77 
287,10 41 46 50 84 
288,5 9 30 96 
289,1 15 81 83 87 88 97 
290,7 9 16 29 36 45 66 82 
291,1 5 42 49 51 97 
292,5 10 21 63 71 74 88 
293,16 37 65 72 
294,24 47 
295,51 82 
296,5 10 24 28 30 47 53 66 
297,22 37 76 84 
298,16 21 41 49 63 
299,11 18 77 79 
300,28 41 56 72 84 
301,32 34 47 50 
302,10 35 41 49 53 69 80 95 
303,19 22 23 29 68 
304,39 67 79 87 96 97 
305,11 12 25 28 32 41 64 75 77 
306,1 10 95 
307,5 30 
308,0 23 39 
309,36 41 65 71 74 75 89 
310,10 15 25 41 53 74 84 87 
311,28 74 99 
312,15 25 33 44 53 87 
313,0 10 26 39 77 
314,5 44 97 
315,6 50 67 79 84 
316,83 84 91 
317,10 36 37 60 73 74 86 
318,5 36 47 53 63 95 
319,21 32 54 
320,29 71 85 
321,6 12 19 71 77 78 81 83 
322,1 5 7 13 16 43 44 74 88 
323,0 18 42 71 82 
324,15 41 53 
325,10 25 26 38 47 54 87 
326,15 16 18 43 53 84 
327,8 10 45 72 
328,0 5 10 20 63 86 
329,14 37 50 71 78 79 81 
330,14 28 32 51 69 75 87 
331,10 28 71 84 
332,33 40 94 
333,13 30 41 45 
334,20 25 45 
335,12 36 37 48 53 68 76 98 
336,47 50 62 67 
337,23 29 47 52 53 71 96 
338,13 18 28 36 43 45 64 67 74 77 81 
339,67 
340,26 51 56 59 69 72 
341,8 10 12 15 26 30 79 89 92 
342,6 32 72 
343,20 47 56 95 98 
344,3 11 53 73 94 
345,11 50 53 56 71 
346,9 15 35 37 68 91 
347,9 30 53 82 
348,20 31 43 53 94 
349,26 38 95 
350,20 21 43 74 82 97 
351,9 30 63 91 
352,6 34 37 59 71 77 81 83 
353,0 11 16 24 37 77 78 79 
354,9 21 39 61 67 
355,0 6 37 50 71 73 81 84 
356,16 28 41 84 88 97 
357,23 50 79 
358,10 26 81 95 
359,51 94 
360,9 10 13 49 84 89 
361,15 30 41 53 69 
362,27 49 72 
363,0 12 55 
364,7 16 21 36 
365,1 11 12 19 21 33 66 83 
366,41 53 67 79 81 91 97 
367,31 55 71 91 
368,2 9 15 49 
369,10 14 17 21 24 35 72 
370,21 25 63 88 94 
371,53 95 
372,9 22 31 39 41 43 58 66 
373,36 39 53 67 90 
374,23 39 65 
375,8 12 61 93 94 97 
376,12 21 77 91 99 
377,0 26 29 
378,8 9 21 30 41 47 50 51 64 66 
379,8 10 25 41 55 82 
380,0 12 50 67 82 
381,15 28 30 35 46 49 84 94 97 
382,53 84 
383,19 29 32 36 39 48 
384,5 14 22 28 41 49 64 77 
385,26 79 
386,10 18 
387,24 39 53 73 83 
388,2 19 28 41 83 
389,11 28 35 38 54 56 63 77 97 
390,10 24 32 42 
391,2 11 12 13 19 31 41 51 77 
392,0 23 25 37 66 
393,0 36 37 39 47 50 56 71 82 94 
394,32 71 73 
395,26 71 73 81 82 91 
396,20 49 58 
397,0 23 63 71 82 
398,27 41 52 54 63 72 95 
399,12 20 22 43 74 84 
400,72 
401,37 59 73 
402,34 53 62 71 83 
403,25 57 92 96 
404,2 59 67 69 85 
405,24 66 95 
406,25 28 30 98 
407,5 15 35 41 53 81 
408,5 15 49 53 
409,29 46 47 80 84 94 96 
410,9 45 46 57 81 
411,2 25 62 72 75 87 
412,10 15 
413,11 17 36 59 95 
414,9 12 41 64 68 75 82 
415,24 26 41 44 47 57 64 
416,11 76 77 
417,2 6 28 31 32 44 83 
418,12 18 89 
419,9 12 17 26 44 49 56 67 71 81 
420,18 20 30 41 43 62 67 77 81 
421,21 22 24 40 
422,43 49 72 74 
423,7 66 77 
424,12 27 30 41 49 53 67 84 87 
425,10 27 30 41 
426,4 41 62 66 78 
427,38 50 
428,25 42 47 56 83 
429,8 28 53 69 
430,9 15 16 21 63 73 84 88 91 
431,5 16 18 21 36 44 
432,0 31 39 50 
433,47 49 57 72 80 89 98 
434,10 12 13 68 87 
435,5 10 15 32 46 53 72 98 
436,25 30 41 53 56 75 
437,38 49 54 56 84 91 
438,3 36 53 
439,10 15 28 35 36 72 87 
440,3 36 72 84 89 
441,11 83 
442,41 47 66 96 
443,37 39 47 59 89 
444,19 37 66 91 
445,10 28 38 
446,0 6 50 51 68 71 
447,22 28 41 80 95 
448,25 28 37 86 
449,8 27 41 75 80 
450,21 25 37 41 49 63 93 94 
451,1 12 30 37 97 
452,28 53 84 
453,26 
454,30 95 
455,19 37 39 50 79 81 82 98 
456,6 20 21 23 33 44 50 54 63 71 74 81 97 
457,21 36 
458,35 41 
459,22 44 60 84 
460,10 18 26 81 
461,0 52 53 73 94 98 
462,10 33 48 74 84 
463,9 30 53 56 59 72 84 
464,5 12 68 98 
465,19 53 56 78 96 
466,21 53 65 77 89 
467,91 98 
468,12 41 53 71 72 91 
469,10 36 56 
470,17 28 38 46 53 59 63 81 84 
471,3 11 18 24 37 53 63 69 73 74 86 
472,2 10 17 41 51 95 
473,16 39 42 58 66 
474,20 25 52 
475,69 74 80 84 95 98 
476,14 18 28 41 74 
477,39 89 98 
478,11 37 67 68 94 
479,5 21 25 41 56 88 98 
480,8 41 69 75 87 
481,43 51 84 
482,10 12 13 21 31 57 58 74 80 88 97 
483,12 28 38 53 64 69 71 79 95 
484,4 12 13 31 32 41 
485,3 11 12 41 53 
486,18 25 37 56 71 73 
487,2 12 27 
488,24 29 37 46 62 
489,10 25 28 30 41 82 94 
490,9 30 53 83 
491,18 26 83 
492,10 30 31 35 63 91 94 
493,15 25 47 55 
494,2 9 18 26 37 56 94 
495,9 11 12 20 41 43 46 53 84 
496,0 25 50 62 
497,19 37 63 73 84 89 
498,19 42 56 79 91 
499,38 75 81 82 87 95 
500,77 83 91 
501,12 64 71 72 85 91 
502,4 9 24 35 56 
503,11 13 22 26 27 59 67 81 
504,5 16 25 27 46 47 68 69 85 96 
505,8 18 26 37 41 61 71 74 
506,7 16 25 41 53 76 
507,12 30 38 41 47 84 
508,10 28 32 49 53 
509,0 19 34 50 
510,11 20 26 36 37 48 77 82 95 
511,1 21 45 
512,47 56 59 69 
513,10 15 49 94 
514,25 59 71 79 81 97 
515,2 12 32 56 59 77 81 83 
516,29 37 63 71 96 
517,17 46 58 67 79 91 98 
518,9 30 49 57 
519,10 21 35 46 57 63 
520,25 26 47 53 66 71 
521,10 63 71 84 
522,0 19 50 68 79 85 
523,38 48 54 60 83 91 97 98 
524,2 17 19 66 71 86 
525,9 74 81 94 
526,12 32 44 61 64 
527,25 27 45 72 88 
528,30 38 41 67 68 98 
529,9 27 30 37 
530,21 26 27 30 62 82 92 
531,0 19 37 56 71 
532,3 9 21 37 53 76 77 94 95 
533,45 50 53 56 57 97 
534,15 16 31 53 84 94 
535,46 92 
536,10 35 42 78 83 86 
537,53 84 90 94 
538,17 18 43 
539,62 66 71 77 
540,11 39 41 53 61 62 92 
541,9 16 18 25 37 42 53 56 62 64 78 81 94 
542,13 15 20 27 38 39 53 
543,9 49 61 64 65 72 99 
544,13 26 49 
545,14 47 61 85 90 
546,1 16 35 41 49 82 84 
547,6 37 50 78 79 82 
548,0 34 37 50 71 79 
549,20 26 30 52 65 92 99 
550,25 33 36 54 
551,26 27 31 38 95 
552,14 32 38 89 98 
553,25 30 49 60 71 89 
554,74 
555,18 39 69 96 
556,30 54 71 98 
557,15 16 25 35 49 63 78 81 82 84 88 94 
558,28 41 91 
559,6 23 29 34 50 79 
560,4 42 53 95 
561,39 55 
562,14 31 41 53 84 
563,4 26 30 41 57 72 97 
564,47 53 56 69 85 
565,49 77 
566,16 25 28 37 40 
567,9 28 30 31 35 69 92 95 
568,0 37 39 51 71 78 
569,21 25 85 
570,28 30 71 79 82 92 
571,12 28 37 38 81 83 84 97 
572,0 12 19 71 78 82 
573,19 25 32 39 67 
574,5 84 89 
575,18 56 59 68 72 83 94 95 
576,25 37 82 
577,12 30 56 66 83 91 98 
578,36 38 53 54 67 81 
579,27 44 47 62 72 88 93 
580,5 10 14 87 
581,28 37 63 65 68 
582,9 53 74 97 
583,18 24 27 41 
584,0 34 37 56 69 78 
585,6 12 16 19 68 71 78 82 83 
586,7 34 54 78 79 98 
587,22 26 28 78 82 
588,0 56 63 71 92 
589,13 14 15 16 31 53 54 92 95 98 
590,11 53 56 63 95 
591,0 66 76 77 81 
592,8 67 90 
593,16 53 81 88 
594,9 37 38 53 62 
595,53 56 79 81 84 90 93 
596,38 53 
597,0 7 9 16 36 41 72 
598,23 37 53 62 81 
599,5 26 30 83 
600,37 41 53 73 75 82 83 87 
601,32 35 38 47 64 67 91 
602,22 38 63 71 
603,9 39 68 
604,0 23 30 62 73 
605,10 41 47 49 65 84 
606,20 37 68 94 95 
607,35 53 56 66 76 78 80 84 
608,34 37 63 
609,8 12 13 18 28 36 67 74 80 81 
610,5 13 60 66 
611,10 16 35 47 63 66 79 96 
612,26 34 37 50 
613,7 16 20 30 41 45 66 74 76 96 
614,10 16 31 63 
615,12 19 34 37 62 66 91 93 
616,6 34 67 71 78 79 
617,22 53 56 94 
618,41 
619,11 28 52 53 61 63 64 
620,4 16 21 22 41 77 80 92 99 
621,0 42 53 71 77 78 
622,12 22 67 84 
623,8 24 25 36 37 42 60 79 97 98 
624,15 19 41 53 97 
625,57 58 66 95 
626,12 30 41 53 69 72 80 92 
627,5 10 36 49 71 73 75 
628,10 30 67 
629,5 18 22 30 58 81 
630,53 75 
631,9 10 15 21 25 26 30 79 84 96 
632,2 42 78 
633,0 3 5 16 36 49 63 91 
634,10 30 53 82 
635,12 26 32 60 91 
636,0 16 34 37 63 
637,22 40 78 82 
638,21 26 36 43 67 72 74 77 
639,47 59 69 
640,49 69 72 
641,12 13 18 29 77 
642,78 
643,0 19 34 71 
644,18 54 69 71 91 98 
645,5 21 41 61 87 92 95 
646,23 50 79 
647,39 47 72 74 
648,2 3 5 18 53 83 
649,0 11 16 19 37 54 71 76 
650,9 39 68 
651,0 2 34 
652,5 41 53 84 87 
653,15 28 
654,18 24 
655,5 27 
656,12 36 57 72 
657,30 41 43 84 91 99 
658,0 12 39 47 78 
659,10 45 50 71 
660,10 58 66 69 86 93 95 
661,5 14 
662,10 11 22 74 84 
663,5 9 10 16 53 84 89 95 
664,23 41 68 79 
665,16 47 58 86 94 
666,24 26 31 41 45 53 56 
667,5 27 73 75 
668,10 13 66 78 79 92 
669,6 42 71 
670,17 32 37 44 48 64 88 
671,56 84 94 
672,10 20 30 33 37 45 52 53 
673,11 15 32 38 39 41 
674,10 18 38 48 51 81 95 
675,1 16 21 41 66 82 88 
676,30 98 
677,9 53 65 
678,5 36 37 71 72 86 
679,75 88 89 
680,10 
681,10 41 65 
682,10 66 79 
683,16 21 27 45 48 49 88 
684,1 8 53 55 57 86 87 
685,10 30 
686,2 12 24 53 69 95 
687,0 23 51 82 83 
688,8 10 50 77 88 97 
689,22 37 43 49 58 
690,11 19 22 37 66 68 98 
691,22 35 37 66 84 
692,9 30 53 56 65 68 96 
693,10 26 56 75 95 
694,13 20 30 47 67 79 99 
695,34 50 69 71 76 
696,47 50 55 71 79 83 99 
697,11 14 71 78 
698,13 25 28 65 
699,13 14 31 48 67 77 81 87 91 
700,39 50 
701,10 41 42 49 83 92 
702,12 13 18 21 63 69 71 84 91 95 
703,2 11 18 20 24 53 84 94 
704,41 47 94 98 
705,5 12 41 70 71 75 77 95 
706,9 30 41 76 
707,10 41 69 84 
708,0 37 40 45 50 71 82 
709,10 53 73 74 79 
710,28 75 87 
711,35 49 
712,24 41 71 73 
713,10 18 32 41 95 
714,21 28 69 
715,10 26 37 38 49 80 
716,25 27 30 36 76 84 96 
717,5 
718,0 7 34 50 71 
719,9 41 49 91 96 
720,0 6 26 29 31 62 66 
721,2 10 12 22 28 47 53 
722,37 41 50 71 79 87 97 
723,7 10 32 42 67 
724,26 41 47 53 73 81 84 
725,1 9 10 36 53 96 
726,8 10 25 28 61 81 95 
727,84 
728,53 56 63 71 84 
729,0 28 37 78 
730,10 37 79 87 98 
731,53 83 88 
732,6 37 39 44 47 71 79 
733,0 23 24 29 39 47 50 68 
734,36 37 87 
735,12 67 94 95 
736,13 41 53 67 74 
737,1 8 21 74 
738,39 55 84 
739,13 28 31 62 83 84 
740,41 53 56 61 91 95 
741,8 18 21 55 64 
742,23 34 53 56 62 71 81 82 83 
743,10 25 47 96 
744,18 28 29 55 79 96 
745,13 48 88 96 
746,47 80 
747,13 24 43 58 74 81 95 
748,0 34 42 73 
749,13 15 41 63 66 77 93 
750,1 29 85 
751,12 49 57 71 98 
752,5 10 27 37 54 61 63 88 98 
753,59 69 75 81 
754,5 12 43 46 53 56 81 
755,19 23 24 39 47 53 55 68 78 82 
756,12 26 28 38 
757,41 42 57 75 
758,9 39 41 56 77 84 
759,11 12 36 54 58 67 79 80 
760,39 77 83 
761,10 41 80 
762,0 25 32 65 67 78 82 
763,4 5 8 49 53 56 75 
764,5 16 21 30 31 35 49 94 95 97 98 
765,53 94 
766,15 35 52 54 66 85 96 
767,37 53 59 72 74 
768,20 31 43 50 66 94 
769,28 32 53 
770,11 12 22 43 77 89 
771,8 11 12 20 26 41 60 68 81 83 
772,0 7 16 21 34 76 78 82 
773,10 48 62 75 77 
774,3 22 26 46 48 77 92 
775,15 16 35 36 52 88 92 94 
776,9 10 27 47 
777,6 9 18 30 36 89 94 98 
778,47 84 
779,0 39 50 
780,10 13 26 57 81 98 
781,9 13 77 80 
782,11 12 28 38 47 53 69 94 
783,10 21 50 57 85 96 
784,10 12 13 32 62 72 83 84 
785,53 79 91 
786,31 43 53 72 77 81 83 94 
787,30 53 56 92 
788,37 41 84 
789,29 30 43 84 
790,0 19 24 29 50 63 
791,8 9 26 30 37 41 84 94 
792,27 46 80 87 
793,22 41 47 67 72 88 
794,11 12 43 56 71 77 
795,9 13 25 62 72 81 
796,16 59 83 97 
797,12 24 36 43 
798,71 72 94 
799,1 31 41 53 56 67 77 84 94 
